,Susceptible,Exposed,Infectious,Quarantined,Recovered,Deaths,Vaccinated,Population
78.0,321391116.0,3376215,2196652.0,68534.0,1031939.0,135544,0.0,328200000
79.0,321255625.0,3444749,2246010.0,68067.0,1049098.0,136451,0.0,328200000
80.0,321113651.0,3512816,2284558.0,75694.0,1075882.0,137399,0.0,328200000
81.0,320963196.0,3588510,2347154.0,72141.0,1090645.0,138354,0.0,328200000
82.0,320828107.0,3660651,2401245.0,63540.0,1107204.0,139253,0.0,328200000
83.0,320703235.0,3724191,2448574.0,61167.0,1122720.0,140113,0.0,328200000
84.0,320579850.0,3785358,2501605.0,61525.0,1131121.0,140541,0.0,328200000
85.0,320453410.0,3846883,2533677.0,64982.0,1160087.0,140961,0.0,328200000
86.0,320318580.0,3911865,2575198.0,70302.0,1182018.0,142037,0.0,328200000
87.0,320179534.0,3982167,2616046.0,68169.0,1210849.0,143235,0.0,328200000
88.0,320036614.0,4050336,2661175.0,74260.0,1233269.0,144346,0.0,328200000
89.0,319898631.0,4124596,2705361.0,64239.0,1261624.0,145549,0.0,328200000
90.0,319776883.0,4188835,2752147.0,56237.0,1279414.0,146484,0.0,328200000
91.0,319664262.0,4245072,2789125.0,56659.0,1297863.0,147019,0.0,328200000
92.0,319541032.0,4301731,2816521.0,66776.0,1325804.0,148136,0.0,328200000
93.0,319403636.0,4368507,2851533.0,71552.0,1355363.0,149409,0.0,328200000
94.0,319264929.0,4440059,2886844.0,67939.0,1389425.0,150804,0.0,328200000
95.0,319128206.0,4507998,2928805.0,68677.0,1414155.0,152159,0.0,328200000
96.0,319003974.0,4576675,2970564.0,57221.0,1438160.0,153406,0.0,328200000
97.0,318899629.0,4633896,3004112.0,45954.0,1461885.0,154524,0.0,328200000
98.0,318805769.0,4679850,3044406.0,46324.0,1468689.0,154962,0.0,328200000
99.0,318700930.0,4726174,3044692.0,59211.0,1513446.0,155547,0.0,328200000
100.0,318589607.0,4785385,3085300.0,53817.0,1528979.0,156912,0.0,328200000
101.0,318477333.0,4839202,3087789.0,59503.0,1577851.0,158322,0.0,328200000
102.0,318358052.0,4898705,3124854.0,59603.0,1598624.0,160162,0.0,328200000
103.0,318244889.0,4958308,3156538.0,54994.0,1623870.0,161401,0.0,328200000
104.0,318141885.0,5013302,3192388.0,46839.0,1643118.0,162468,0.0,328200000
105.0,318047238.0,5060141,3225062.0,47667.0,1656864.0,163028,0.0,328200000
106.0,317949360.0,5107808,3260182.0,48286.0,1670755.0,163609,0.0,328200000
107.0,317847022.0,5156094,3261711.0,55575.0,1714960.0,164638,0.0,328200000
108.0,317739601.0,5211669,3277617.0,51224.0,1753760.0,166129,0.0,328200000
109.0,317622714.0,5262893,3307200.0,65346.0,1774648.0,167199,0.0,328200000
110.0,317510761.0,5328239,3348474.0,47660.0,1796326.0,168540,0.0,328200000
111.0,317422917.0,5375899,3373157.0,39955.0,1818527.0,169545,0.0,328200000
112.0,317344737.0,5415854,3400094.0,36098.0,1833067.0,170150,0.0,328200000
113.0,317264425.0,5451952,3402248.0,45159.0,1865580.0,170636,0.0,328200000
114.0,317172731.0,5497111,3413408.0,46687.0,1898159.0,171904,0.0,328200000
115.0,317082547.0,5543798,3431598.0,43785.0,1925049.0,173223,0.0,328200000
116.0,316989056.0,5587583,3452557.0,49454.0,1947035.0,174315,0.0,328200000
117.0,316896731.0,5637037,3482114.0,43661.0,1965056.0,175401,0.0,328200000
118.0,316817658.0,5680698,3505275.0,34500.0,1985484.0,176385,0.0,328200000
119.0,316745942.0,5715198,3527116.0,37107.0,1997761.0,176876,0.0,328200000
120.0,316667843.0,5752305,3541698.0,40028.0,2020774.0,177352,0.0,328200000
121.0,316586099.0,5792333,3545525.0,43764.0,2053699.0,178580,0.0,328200000
122.0,316496547.0,5836097,3557646.0,45488.0,2084465.0,179757,0.0,328200000
123.0,316403329.0,5881585,3585635.0,47257.0,2101326.0,180868,0.0,328200000
124.0,316313186.0,5928842,3613774.0,44004.0,2118367.0,181827,0.0,328200000
125.0,316231548.0,5972846,3637845.0,34418.0,2140614.0,182729,0.0,328200000
126.0,316158494.0,6007264,3659426.0,37689.0,2153939.0,183188,0.0,328200000
127.0,316081808.0,6044953,3662165.0,42565.0,2184825.0,183684,0.0,328200000
128.0,315998469.0,6087518,3686513.0,40109.0,2202663.0,184728,0.0,328200000
129.0,315921930.0,6127627,3696033.0,36860.0,2231757.0,185793,0.0,328200000
130.0,315834604.0,6164487,3696269.0,50860.0,2266957.0,186823,0.0,328200000
131.0,315740657.0,6215347,3729309.0,43462.0,2283454.0,187771,0.0,328200000
132.0,315664617.0,6258809,3754245.0,31576.0,2302187.0,188566,0.0,328200000
133.0,315609061.0,6290385,3771429.0,24126.0,2315995.0,189004,0.0,328200000
134.0,315557577.0,6314511,3777863.0,27206.0,2333551.0,189292,0.0,328200000
135.0,315496619.0,6341717,3778245.0,34566.0,2359111.0,189742,0.0,328200000
136.0,315427490.0,6376283,3782927.0,34906.0,2387479.0,190915,0.0,328200000
137.0,315344766.0,6411189,3800762.0,47960.0,2403511.0,191812,0.0,328200000
138.0,315255392.0,6459149,3832886.0,41715.0,2417878.0,192980,0.0,328200000
