,FIPS,Countyname,ST_Name,Black,Med_HH_Inc,ICU_Capacity,State_Test,Hisp,Population_Density,AVG_VENTILATOR_USAGE,Asian,Poverty,Deaths,Confirmed,Over_65,Population,KMeans_Cluster,Hierarchical_cluster,DBSCAN_cluster,MeanShift_cluster
1410,28021,Claiborne,Mississippi,0.7290785359573294,65.0784144096182,0.0,1726829,0.0007356998344675372,6.012518674054946e-06,0.0,0.009472135368769542,0.2643921280117712,30,1012,0.13352951995585802,10874.0,2,2,1,2
1411,28023,Clarke,Mississippi,0.3248329944815568,95.843038086999,0.0,1726829,0.005925065349985477,6.869364009667379e-06,0.0,0.0,0.2075515538774325,75,1762,0.18280569270984606,17215.0,2,2,1,2
1412,28025,Clay,Mississippi,0.5667372881355932,70.6128967857856,0.00014445300462249616,1726829,0.0006741140215716487,1.3316867748550196e-05,2.0,0.002744607087827427,0.2713308936825886,54,1823,0.16886556240369802,20768.0,2,2,1,2
1413,28027,Coahoma,Mississippi,0.6595456707027106,64.59705862780329,0.0,1726829,0.0031459194498299013,1.2338900606618425e-05,2.0,0.004206752752679519,0.3003255660825987,77,2892,0.12437355964443796,27337.0,2,2,1,2
1414,28029,Copiah,Mississippi,0.5151408944343193,93.50058783079348,0.0,1726829,0.03161362680499088,1.016263238626477e-05,1.0,0.0036099817748492923,0.2131641665498388,63,2923,0.16802187018084958,28532.0,2,2,1,2
1415,28031,Covington,Mississippi,0.3440316988608222,84.68756238770209,0.0,1726829,0.022387320455671125,1.3579405279931861e-05,0.0,0.0,0.19301634472511145,80,2543,0.15953442298167408,20190.0,2,2,1,2
1416,28033,DeSoto,Mississippi,0.33993586115827196,148.705663139682,0.0002455361821519148,1726829,0.06173538186365955,7.465896552317511e-05,3.0,0.017634688074227783,0.12096250183403552,248,20701,0.15811831450390212,143127.0,0,0,3,5
1417,28035,Forrest,Mississippi,0.36837595570788295,88.3742596659346,0.0010508078791759256,1726829,0.02904033746374901,4.551847720617524e-05,10.5,0.008423411547587661,0.2211442130239916,146,7507,0.13176904824677035,75860.0,2,2,1,2
1418,28037,Franklin,Mississippi,0.3397240200268653,89.21496861205391,0.0,1726829,0.002564415679570155,4.0421366300612455e-06,1.0,0.0004884601294419343,0.18268408841128345,23,815,0.18182928318476005,8189.0,2,2,1,2
1419,28039,George,Mississippi,0.08907859330054746,104.90450522393,0.00027837060406421077,1726829,0.03168785376264266,1.2643418447727847e-05,2.0,0.004964275772478426,0.1837709937830565,46,2370,0.1631715690823049,21554.0,1,0,2,4
